iter	Passed	Remaining
403	11000	39374
404	11023	39330
405	11046	39286
406	11068	39243
407	11091	39200
408	11113	39154
409	11134	39105
410	11156	39060
411	11180	39022
412	11203	38980
413	11224	38934
414	11246	38889
415	11268	38842
416	11290	38798
417	11314	38761
418	11335	38714
419	11356	38667
420	11379	38626
421	11406	38599
422	11431	38564
423	11453	38519
424	11475	38476
425	11497	38431
426	11519	38389
427	11541	38346
428	11563	38301
429	11585	38257
430	11607	38214
431	11647	38232
432	11669	38189
433	11693	38153
434	11717	38115
435	11743	38084
436	11767	38049
437	11792	38016
438	11816	37980
439	11842	37949
440	11866	37914
441	11889	37874
442	11911	37830
443	11933	37789
444	11955	37746
445	11977	37704
446	11999	37663
447	12021	37620
448	12043	37578
449	12068	37547
450	12091	37508
451	12112	37463
452	12135	37425
453	12159	37388
454	12180	37345
455	12203	37306
456	12224	37263
457	12247	37222
458	12270	37186
459	12293	37147
460	12315	37107
461	12336	37063
462	12358	37022
463	12380	36980
464	12402	36940
465	12423	36898
466	12444	36855
467	12468	36818
468	12506	36826
469	12535	36804
470	12556	36763
471	12578	36722
472	12600	36681
473	12622	36642
474	12643	36600
475	12666	36562
476	12689	36525
477	12715	36496
478	12739	36462
479	12761	36423
480	12783	36383
481	12805	36343
482	12826	36303
483	12849	36264
484	12870	36222
485	12893	36185
486	12918	36157
487	12944	36127
488	12967	36090
489	12989	36051
490	13012	36016
491	13034	35976
492	13056	35939
493	13078	35899
494	13101	35863
495	13123	35825
496	13145	35787
497	13170	35756
498	13192	35718
499	13215	35681
500	13236	35641
501	13258	35602
502	13281	35565
503	13302	35526
504	13324	35487
505	13348	35455
506	13388	35464
507	13413	35434
508	13435	35396
509	13457	35358
510	13479	35320
511	13501	35282
512	13523	35245
513	13547	35212
514	13570	35176
515	13594	35144
516	13617	35109
517	13638	35071
518	13661	35035
519	13684	35000
520	13706	34962
521	13729	34929
522	13754	34900
523	13779	34870
524	13805	34843
525	13829	34811
526	13854	34780
527	13880	34753
528	13902	34717
529	13925	34682
530	13947	34646
531	13970	34610
532	13992	34574
533	14035	34588
534	14057	34551
535	14079	34516
536	14101	34479
537	14125	34447
538	14151	34420
539	14184	34409
540	14217	34400
541	14246	34380
542	14268	34344
543	14290	34308
544	14313	34274
545	14337	34242
546	14359	34206
547	14381	34169
548	14403	34132
549	14425	34097
550	14450	34066
551	14474	34036
552	14496	33999
553	14518	33963
554	14542	33931
555	14568	33905
556	14590	33869
557	14612	33834
558	14634	33798
559	14659	33768
560	14684	33739
561	14712	33718
562	14739	33692
563	14764	33664
564	14787	33632
565	14812	33602
566	14833	33565
567	14856	33532
568	14879	33499
569	14901	33463
570	14942	33469
571	14967	33440
572	14991	33410
573	15017	33382
574	15039	33348
575	15061	33313
576	15084	33279
577	15116	33266
578	15150	33257
579	15180	33240
580	15214	33229
581	15245	33214
582	15275	33197
583	15308	33185
584	15341	33175
585	15371	33155
586	15409	33156
587	15436	33131
588	15459	33097
589	15482	33064
590	15506	33032
591	15529	33001
592	15552	32967
593	15575	32934
594	15621	32949
595	15647	32923
596	15682	32913
597	15709	32890
598	15746	32886
599	15779	32873
600	15812	32861
601	15925	33014
602	15968	33021
603	15995	32997
604	16022	32972
605	16046	32941
606	16071	32911
607	16094	32877
608	16118	32846
609	16141	32811
610	16164	32778
611	16189	32750
612	16218	32727
