iter	Logloss
0	0.5968811243
1	0.5376542073
2	0.4711006662
3	0.4243486592
4	0.3855342777
5	0.3553189106
6	0.3401514955
7	0.3224017892
8	0.3065871501
9	0.2939519119
10	0.2825381519
11	0.2740873404
12	0.2630282462
13	0.2530613715
14	0.2454035534
15	0.238339895
16	0.2297612969
17	0.2240712087
18	0.2171067282
19	0.2133879438
20	0.208715573
21	0.2029524008
22	0.1975093957
23	0.1924381248
24	0.1860894848
25	0.1814641046
26	0.1781569675
27	0.1746607923
28	0.1718132564
29	0.1677896498
30	0.1642114693
31	0.1612085557
32	0.1582596709
33	0.1550523408
34	0.1513740212
35	0.1491339618
36	0.1466882087
37	0.1441900673
38	0.1421073143
39	0.1387713132
40	0.1366194672
41	0.1348892944
42	0.1330066315
43	0.1315651026
44	0.1299130941
45	0.1280971627
46	0.1260639007
47	0.1244530023
48	0.1229984922
49	0.121512528
50	0.1199596525
51	0.1181603654
52	0.1166342132
53	0.1155145013
54	0.1138385078
55	0.112727085
56	0.1120483196
57	0.111201853
58	0.1107167291
59	0.10939695
60	0.108333586
61	0.107097364
62	0.1060998994
63	0.1052133605
64	0.1038714885
65	0.1017292318
66	0.1011587688
67	0.1004739994
68	0.09942726881
69	0.09825959316
70	0.09724645869
71	0.09620029469
72	0.09534154342
73	0.09521781962
74	0.09419244784
75	0.09325307182
76	0.09244436658
77	0.09219710912
78	0.09200700312
79	0.09168587535
80	0.09108895987
81	0.0904671075
82	0.09033076391
83	0.0895514431
84	0.08928490972
85	0.08860090888
86	0.0884553565
87	0.08825743858
88	0.08769467943
89	0.08695237169
90	0.08681399322
91	0.08660904255
92	0.08587531655
93	0.08484324727
94	0.08466712851
95	0.08451720483
96	0.08438797624
97	0.08343284806
98	0.08329467585
99	0.08222568767
100	0.08207997193
101	0.08170887596
102	0.08157809687
103	0.08102066679
104	0.08071977321
105	0.08060225777
106	0.07974132881
107	0.07883872696
108	0.07805750738
109	0.07786693369
110	0.07662292197
111	0.07602783396
112	0.07591414275
113	0.07472864876
114	0.07453842552
115	0.07443518689
116	0.07418709737
117	0.07347029332
118	0.07154491942
119	0.07144924252
120	0.07091535341
121	0.07082143508
122	0.07068332729
123	0.06970491672
124	0.06927080162
125	0.06833739179
126	0.06816461538
127	0.06807653117
128	0.06719105343
129	0.06662161904
130	0.06639528113
131	0.06532141859
132	0.06513823592
133	0.06505539902
134	0.06497503561
135	0.0640373169
136	0.06395074889
137	0.06381784676
138	0.06308603535
139	0.06253697875
140	0.06245976202
141	0.06197839896
142	0.06187085621
143	0.06168159208
144	0.0616099488
145	0.06086240595
146	0.06074439338
147	0.06047292378
148	0.06040556488
149	0.05969680759
150	0.05874862963
151	0.05779566833
152	0.0577312101
153	0.05715436934
154	0.05674056513
155	0.05614566107
156	0.05594911857
157	0.05552578268
158	0.05537883125
159	0.05531720107
160	0.05486255414
161	0.05439371484
162	0.05433449554
163	0.0541564824
164	0.05402364193
165	0.05337529504
166	0.05331839939
167	0.05266991497
168	0.05261422109
169	0.05201696315
170	0.05138686912
171	0.05129143812
172	0.05123987175
173	0.05044805463
174	0.0503950791
175	0.04997583992
176	0.04987015582
177	0.0494546143
178	0.04929583544
179	0.04887025289
180	0.04882075066
181	0.04877362508
182	0.0483381011
183	0.04822397337
184	0.04769133492
185	0.04723586308
186	0.04719051408
187	0.04714700248
188	0.04704921131
189	0.04678889015
190	0.04674639836
191	0.04645132518
192	0.04640966298
193	0.04593531675
194	0.04546744609
195	0.04542533279
196	0.04496335345
197	0.04492289034
198	0.0445989271
199	0.04408420803
200	0.04404459766
201	0.04392331966
202	0.04360932158
203	0.04353275505
204	0.04310727791
205	0.04306966735
206	0.04299978607
207	0.04296298764
208	0.0428165404
209	0.04254461855
210	0.04224751316
211	0.04209882861
212	0.04206382278
213	0.04198167049
214	0.04145205405
215	0.04096029302
216	0.04092500707
217	0.04087981267
218	0.04084633084
219	0.04054979951
220	0.04037178904
221	0.03996070633
222	0.03991644463
223	0.03949823452
224	0.03946555492
225	0.03943347855
226	0.03921796188
227	0.03915415834
228	0.03911893386
229	0.0386573981
230	0.03862677025
231	0.03859707053
232	0.03815432832
233	0.03808848476
234	0.03763635755
235	0.03740295848
236	0.03734405904
237	0.03731381138
238	0.03728428627
239	0.0372557175
240	0.03721795167
241	0.03682777364
242	0.03679736729
243	0.03647212222
244	0.03644486339
245	0.0363895112
246	0.03635962334
247	0.03626621472
248	0.03586867988
249	0.03554399181
250	0.03551561881
251	0.03545625453
252	0.03510700596
253	0.03507574992
254	0.03474502136
255	0.03471908621
256	0.03469349827
257	0.03454560564
258	0.03452082803
259	0.03426418261
260	0.03424002127
261	0.03377539421
262	0.03373732463
263	0.03369716737
264	0.03364201372
265	0.03361845102
266	0.03359545466
267	0.03341875328
268	0.03339653417
269	0.03305746836
270	0.03297935456
271	0.03269181422
272	0.03266933711
273	0.03229141893
274	0.03226986547
275	0.03200546808
276	0.03169227747
277	0.03167048336
278	0.03151178017
279	0.03145896628
280	0.03143779502
281	0.0314091296
282	0.03138847321
283	0.03136812447
284	0.03130959178
285	0.03128967594
286	0.0310237472
287	0.0307436811
288	0.03072345645
289	0.03031330806
290	0.03029072268
291	0.03027069704
292	0.02997315704
293	0.02994143455
294	0.02992154731
295	0.02974107555
296	0.02972153275
297	0.02968720134
298	0.02966552645
299	0.02948777218
300	0.02946905811
301	0.0292312742
302	0.02921291449
303	0.02904332706
304	0.02902508335
305	0.02893294598
306	0.0289152199
307	0.02887490967
308	0.02883666529
309	0.02881914745
310	0.02871435003
311	0.02869731103
312	0.02868043044
313	0.028626126
314	0.02830421622
315	0.02828595954
316	0.02826936183
317	0.02805267904
318	0.02799550262
319	0.02773498216
320	0.02771196846
321	0.02769570615
322	0.02767987149
323	0.02763057694
324	0.02761503822
325	0.02756766446
326	0.02753562287
327	0.02750162828
328	0.02740827589
329	0.02730561265
330	0.02729025979
331	0.02702121632
332	0.02699877161
333	0.02669869979
334	0.02668242871
335	0.02649590646
336	0.02647744182
337	0.02630469934
338	0.02608692858
339	0.02606877751
340	0.02605373278
341	0.02578394208
342	0.025769187
343	0.0255714495
344	0.02546233681
345	0.02523554408
346	0.02522057694
347	0.0250511462
348	0.02503683642
349	0.02502297907
350	0.02499526485
351	0.02478944371
352	0.02477534599
353	0.02458829802
354	0.02457444601
355	0.02456112764
356	0.02454783052
357	0.02437089897
358	0.02429436274
359	0.02428119544
360	0.02426846209
361	0.02410933592
362	0.02408526846
363	0.02404886004
364	0.0238627542
365	0.02384936054
366	0.02383660937
367	0.02381531077
368	0.02362698992
369	0.0236136788
370	0.0235425053
371	0.02352997
372	0.02351794556
373	0.02350605542
374	0.02347996529
375	0.02324280014
376	0.02322598531
377	0.02320639629
378	0.02308390137
379	0.02307202028
380	0.02303434205
381	0.02302101062
382	0.02282600958
383	0.02281410571
384	0.02262947832
385	0.02261519027
386	0.02260338209
387	0.02244045657
388	0.02233657593
389	0.0223252118
390	0.02226495895
391	0.02225376581
392	0.02212225311
393	0.02211125965
394	0.02209262621
395	0.02193236994
396	0.02192143805
397	0.02183887984
398	0.02182799484
399	0.02171062818
400	0.02167186198
401	0.02166128044
402	0.0214368272
403	0.02142599909
404	0.02140635603
405	0.0213932951
406	0.02138295308
407	0.02136323167
408	0.02134535624
409	0.02133523191
410	0.02117352616
411	0.0211630915
412	0.02115318067
413	0.02108145237
414	0.02094182858
415	0.020873762
416	0.02086373136
417	0.02082254085
418	0.02081263354
419	0.02080293686
420	0.02078435889
421	0.02075685188
422	0.02058803656
423	0.02057825907
424	0.02056688722
425	0.02055729091
426	0.02054111047
427	0.02052376153
428	0.02051424413
429	0.02028835942
430	0.02027870535
431	0.02026927993
432	0.02015412104
433	0.02006495735
434	0.02005226317
435	0.02004286882
436	0.01987182162
437	0.01985061138
438	0.01984136352
439	0.01967979635
440	0.01967041678
441	0.01966162145
442	0.01950311346
443	0.01949415802
444	0.01946999468
445	0.01933846396
446	0.01930594354
447	0.01929701459
448	0.01922630039
449	0.01916762902
450	0.01915893578
451	0.01905335051
452	0.01904433922
453	0.01903589425
454	0.01902751934
