Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413155581;"Выполнение работ по обслуживанию программного продукта ""Гарант-Пронет""";62.02.10.000: Услуги консультативные по компьютерному оборудованию;06.01.2024
№32413155576;"Услуги по сопровождению программного продукта ""1С:Предприятие8""";62.03.12.130: Услуги по сопровождению компьютерных систем;06.01.2024
№32413155561;Услуга по обслуживанию программы Талисман;62.09.20.120: Услуги по установке программного обеспечения;06.01.2024
№32413155458;информационное абонентское обслуживание;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;05.01.2024
№32413155373;Оказание услуг по обслуживанию компьютерной техники, оборудования и системного программного оборудования;"62.02.20.120: Услуги по обследованию и экспертизе компьютерных систем; 62.02.30.000: Услуги по технической поддержке информационных технологий";05.01.2024
№32413155371;Услуги по консультационно-технологическому сопровождению комплекса программных средств;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;05.01.2024
№32413155356;Оказание услуг по адаптации и сопровождению экземпляров справочно-правовых систем КонсультантПлюс;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;05.01.2024
№32413155475;Техническая поддержка АИСС КУПР-экспертиза;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;05.01.2024
№32413155442;Оказание аутсорсинговых услуг по техническому сопровождению аппаратных средств и программного обеспечения;62.02.30.000: Услуги по технической поддержке информационных технологий;05.01.2024
№32413155312;Работы по информационному обслуживанию программных продуктов;62.02.30.000: Услуги по технической поддержке информационных технологий;05.01.2024
№32413155378;Оказание услуг по поставке и сопровождению экземпляров Систем Консультант Плюс;62.01.29.000: Оригиналы программного обеспечения прочие;05.01.2024
№32413155360;Обеспечение безотказной работы процесса фиксации и и передачи информации в ЕГАИС;62.01.29.000: Оригиналы программного обеспечения прочие;05.01.2024
№32413155334;Услуги по сервисному (техническому) обслуживанию и ремонту комплекса измерительного «ALCOSPOT»;62.01.29.000: Оригиналы программного обеспечения прочие;05.01.2024
№32413155234;"Ежемесячное абонентское обслуживание билетно-информационной системы (БИС) на базе прикладного программного обеспечения ""TicketNet""";62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;04.01.2024
№32413155259;Обновление ПО и техническая поддержка (биллинг);62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;04.01.2024
№32413155238;услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;04.01.2024
№32413155207;Оказание услуг по адаптации и сопровождению экземпляров справочной правовой системы КонсультантПлюс;63.11.11.000: Услуги по обработке данных;04.01.2024
№32413155203;услуги по адаптации и сопровождению  экземпляров Систем  КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость  услуг с установленными экземплярами Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;04.01.2024
№32413155148;Техническое сопровождение программного обеспечения (интернет-сайта www.filarm.ru), консультационные услуги по вопросам эксплуатации и оптимизации ресурса;62.02.30.000: Услуги по технической поддержке информационных технологий;04.01.2024
№32413155177;"Сопровождение программных продуктов ПО ""Парус-Бюджет 8""";62.03.12.130: Услуги по сопровождению компьютерных систем;04.01.2024
№32413155162;"Сопровождение программных продуктов фирмы ""1С""";62.03.12.130: Услуги по сопровождению компьютерных систем;04.01.2024
№32413154964;Информационные услуги систем Консультант+;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;03.01.2024
№32413154922;Поставка нефтепродуктов и оказание сервисных  услуг;"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки; 19.20.21.125: Бензин автомобильный с октановым числом более 92, но не более 95 по исследовательскому методу экологического класса К5; 19.20.21.135: Бензин автомобильный с октановым числом более 95, но не более 98 по исследовательскому методу экологического класса К5; 19.20.21.300: Топливо дизельное";03.01.2024
№32413154779;Оказание услуг по информационному обеспечению хозяйственной деятельности в период неблагоприятных метеорологических условий (НМУ);63.9: Услуги информационные прочие;02.01.2024
