Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413157967;"Адаптация, модификация и сопровождение программных продуктов для ЭВМ ""1С: Бухгалтерия государственного учреждения8"", ""1С:Зарплата и кадры государственного учреждения8""";62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413157565;услуги по сопровождению программных продуктов;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413157901;Закупка и обслуживание ККТ;62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;09.01.2024
№32413157110;Сопровождение комплексных автоматизированных музейных информационных систем КАМИС5;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413157467;Поставка, адаптация и сопровождение экземпляров систем Консультантплюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413157847;"Оказание услуг по созданию системы ""ВНИРО.Контракт"" для нужд ФГБНУ ""ВНИРО"".";62.09.20.120: Услуги по установке программного обеспечения;09.01.2024
№32413157809;"Оказание услуг по сопровождению программного продукта ""1-С -Предприятие""";62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;09.01.2024
№32413157760;Оказание комплекса услуг по технической поддержке и обслуживанию установленного в «Санаторий «Лесная Новь» имени Ю.Ф. Янтарева» программного обеспечения «Санаториум» и «Логус»;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413157729;Закупка у единственного поставщика на заключение договора на оказание услуг по комплексному сопровождению и информационно-методическому обслуживанию прикладного программного комплекса «Стек-ЖКХ» г. Псков.;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413157705;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;09.01.2024
№32413156313;оказание услуг по Сопровождению-обновлению  программы «НоТ: Учет по питанию в ДДУ» с участником СМП;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413157688;Оказание информационных услуг с использованием экземпляров системы КонсультантПлюс;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413155968;"Предоставление права использования ЭКС ""Гарант""";62.09.20.120: Услуги по установке программного обеспечения;09.01.2024
№32413156096;Оказание услуг по адаптации и установке ИСС, модификации и сопровождению модифицированных информационно-справочных систем «Кодекс»;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413157594;Оказание услуг по технической поддержке программного комплекса «Контроль управления проектными решениями»;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413157585;ОКАЗАНИЕ УСЛУГ СПЕЦИАЛИЗИРОВАННОЙ ОРГАНИЗАЦИЕЙ ПО ИНФОРМАЦИОННО-КОНСУЛЬТАЦИОННОМУ И ТЕХНИЧЕСКОМУ СОПРОВОЖДЕНИЮ ЗАКУПОК ТОВАРОВ, РАБОТ, УСЛУГ;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;09.01.2024
№32413156139;"Оказание услуг по сопровождению экземпляров системы ""Консультант Плюс""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413157578;Договор на оказание услуг по сопровождению и технической поддержке для нужд ГАУСО ПО «Мокшанский психоневрологический интернат»;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413157183;Оказание услуг по текущему техническому обслуживанию автоматизированный системы на базе «1С:Бухгалтерия государственного учреждения, ред. 2.0»;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
